Locus tag	Strand	Chr	Begin	End	Length (bp)	Length (aa)	Gene Name	Start codon	Operon	Product	Description	RAST info.	COG
lmo0125	+	NC_003210.1	128628	129203	576	191		ATG	Operon_020	hypothetical protein - RAST_Product: FIG00774093: hypothetical protein	lmo0125	FIG00774093: hypothetical protein	Not in COGs
lmo0126	+	NC_003210.1	129218	129697	480	159		ATG	Operon_020	hypothetical protein - RAST_Product: FIG00774250: hypothetical protein	lmo0126	FIG00774250: hypothetical protein	Not in COGs
lmo0127	+	NC_003210.1	129694	130230	537	178		ATG	Operon_020	hypothetical protein - RAST_Product: FIG00774804: hypothetical protein	weakly similar to protein gp20 from Bacteriophage A118	FIG00774804: hypothetical protein	Not in COGs
lmo0128	+	NC_003210.1	130249	130671	423	140		ATG	Operon_020	hypothetical protein - RAST_Product: N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	similar to a protein from Bacteriophage phi-105 (ORF 45)	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	General function prediction only
lmo0129	+	NC_003210.1	130652	131380	729	242		ATG	Operon_020	hypothetical protein - RAST_Product: N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	similar to autolysin: N-acetylmuramoyl-L-alanine amidase	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	Cell wall/membrane biogenesis
lmo0130	-	NC_003210.1	131419	133773	2355	784		GTG		hypothetical protein	'similar to 5''-nucleotidase, putative peptidoglycan bound protein (LPXTG motif)'	'5''-nucleotidase (EC 3.1.3.5)'	Nucleotide transport and metabolism
lmo0131	+	NC_003210.1	133961	134710	750	249		ATG		hypothetical protein - RAST_Product: FIG00774523: hypothetical protein		FIG00774523: hypothetical protein	Signal transduction mechanisms
lmo0132	-	NC_003210.1	134782	136290	1509	502		ATG		inosine 5-monophosphate dehydrogenase	similar to inosine monophosphate dehydrogenase  catalyzes the synthesis of xanthosine monophosphate by the NAD+ dependent oxidation of inosine monophosphate	'Inosine-5''-monophosphate dehydrogenase (EC 1.1.1.205)'	Nucleotide transport and metabolism; General function prediction only;
lmo0133	+	NC_003210.1	136469	136702	234	77		ATG	Operon_021	hypothetical protein - RAST_Product: FIG00774781: hypothetical protein	similar to E. coli YjdI protein	FIG00774781: hypothetical protein	Function unknown
lmo0134	+	NC_003210.1	136714	136992	279	92		ATG	Operon_021	hypothetical protein - RAST_Product: acetyltransferase, GNAT family	similar to E. coli YjdJ protein	acetyltransferase, GNAT family	General function prediction only
lmo0135	+	NC_003210.1	137323	138897	1575	524		ATG	Operon_022	hypothetical protein - RAST_Product: Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	similar to oligopeptide ABC transport system substrate-binding proteins	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	Amino acid transport and metabolism
lmo0136	+	NC_003210.1	138999	139949	951	316		ATG	Operon_022	hypothetical protein - RAST_Product: Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	similar to oligopeptide ABC transporter, permease protein	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	Amino acid transport and metabolism; Inorganic ion transport and metabolism;
lmo0137	+	NC_003210.1	139960	140853	894	297		ATG	Operon_022	hypothetical protein	similar to oligopeptide ABC transporter, permease protein	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	Amino acid transport and metabolism; Inorganic ion transport and metabolism;
lmo0138	+	NC_003210.1	141052	141336	285	94		ATG		hypothetical protein - RAST_Product: FIG00774141: hypothetical protein	lmo0138	FIG00774141: hypothetical protein	Not in COGs
lmo0139	+	NC_003210.1	141337	141705	369	122		ATG		hypothetical protein - RAST_Product: FIG00774625: hypothetical protein	lmo0139	FIG00774625: hypothetical protein	Not in COGs
lmo0140	+	NC_003210.1	141618	143006	1389	462		ATG		hypothetical protein	lmo0140	FIG00774569: hypothetical protein	Not in COGs
lmo0141	+	NC_003210.1	143016	143258	243	80		ATG		hypothetical protein - RAST_Product: FIG00774643: hypothetical protein	lmo0141	FIG00774643: hypothetical protein	Not in COGs
lmo0142	+	NC_003210.1	143366	143722	357	118		ATG		hypothetical protein - RAST_Product: FIG00774858: hypothetical protein	lmo0142	FIG00774858: hypothetical protein	Not in COGs
lmo0143	+	NC_003210.1	144097	144273	177	58		ATG		hypothetical protein - RAST_Product: hypothetical protein	lmo0143	hypothetical protein	Not in COGs
lmo0144	+	NC_003210.1	144397	144840	444	147		ATG		hypothetical protein - RAST_Product: FIG00775328: hypothetical protein	lmo0144	FIG00775328: hypothetical protein	Not in COGs
lmo0145	+	NC_003210.1	145085	145171	87	28		ATG		hypothetical protein			Not in COGs
lmo0146	+	NC_003210.1	145354	145560	207	68		GTG		hypothetical protein - RAST_Product: FIG00774118: hypothetical protein		FIG00774118: hypothetical protein	Not in COGs
lmo0147	+	NC_003210.1	145869	146306	438	145		TTG		hypothetical protein - RAST_Product: FIG00774827: hypothetical protein	lmo0147	FIG00774827: hypothetical protein	Not in COGs
lmo0148	+	NC_003210.1	146306	146656	351	116		ATG		hypothetical protein - RAST_Product: FIG00774858: hypothetical protein	lmo0148	FIG00774858: hypothetical protein	Not in COGs
lmo0149	+	NC_003210.1	146764	147381	618	205		ATG		hypothetical protein	lmo0149	FIG00774748: hypothetical protein	Not in COGs
lmo0150	+	NC_003210.1	147399	147764	366	121		ATG		hypothetical protein - RAST_Product: hypothetical protein	lmo0150	hypothetical protein	Not in COGs
lmo0151	+	NC_003210.1	147884	148291	408	135		TTG		hypothetical protein - RAST_Product: FIG00775174: hypothetical protein	lmo0151	FIG00775174: hypothetical protein	Not in COGs
lmo0152	-	NC_003210.1	148354	150009	1656	551		ATG		hypothetical protein - RAST_Product: Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	similar to oligopeptide ABC transporter-binding protein	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	Amino acid transport and metabolism
lmo0153	+	NC_003210.1	150232	151173	942	313		ATG		hypothetical protein - RAST_Product: Zinc ABC transporter, periplasmic-binding protein ZnuA	similar to a probable high-affinity zinc ABC transporter (Zn(II)-binding lipoprotein)	Zinc ABC transporter, periplasmic-binding protein ZnuA	Inorganic ion transport and metabolism
lmo0154	+	NC_003210.1	151186	151890	705	234		ATG		hypothetical protein - RAST_Product: Zinc ABC transporter, ATP-binding protein ZnuC	similar to high-affinity zinc ABC transporter (ATP-binding protein)	Zinc ABC transporter, ATP-binding protein ZnuC	Inorganic ion transport and metabolism
lmo0155	+	NC_003210.1	151839	152645	807	268		ATG		hypothetical protein	similar to high-affinity zinc ABC transporter (membrane protein)	Zinc ABC transporter, inner membrane permease protein ZnuB	Inorganic ion transport and metabolism
lmo0156	-	NC_003210.1	152648	153328	681	226		ATG		hypothetical protein - RAST_Product: cyclic nucleotide-binding protein	lmo0156	cyclic nucleotide-binding protein	Signal transduction mechanisms
lmo0157	+	NC_003210.1	153608	155947	2340	779		ATG	Operon_023	hypothetical protein - RAST_Product: DinG family ATP-dependent helicase CPE1197	similar to ATP dependent helicase	DinG family ATP-dependent helicase CPE1197	Transcription; Replication, recombination and repair;
lmo0158	+	NC_003210.1	155993	156805	813	270		ATG	Operon_023	hypothetical protein - RAST_Product: Phosphatase YidA		Phosphatase YidA	General function prediction only
lmo0159	+	NC_003210.1	157089	159470	2382	793		ATG		peptidoglycan binding protein		Putative peptidoglycan bound protein (LPXTG motif) Lmo0159 homolog	Cell wall/membrane biogenesis
lmo0160	+	NC_003210.1	159663	161378	1716	571		ATG		peptidoglycan binding protein		Putative peptidoglycan bound protein (LPXTG motif) Lmo0160 homolog	Cell wall/membrane biogenesis
lmo0161	-	NC_003210.1	161420	162250	831	276		ATG		hypothetical protein - RAST_Product: STAS domain protein	lmo0161	STAS domain protein	Signal transduction mechanisms
lmo0162	+	NC_003210.1	162467	163459	993	330		GTG	Operon_024	'DNA polymerase III subunit delta'''	'similar to B. subtilis DNA polymerase III (delta'' subunit)  catalyzes the DNA-template-directed extension of the 3''-end of a DNA strand  the delta'' subunit seems to interact with the gamma subunit to transfer the beta subunit on the DNA'	DNA polymerase III delta prime subunit (EC 2.7.7.7)	Replication, recombination and repair
lmo0163	+	NC_003210.1	163465	164298	834	277		ATG	Operon_024	hypothetical protein - RAST_Product: Signal peptidase-like protein	lmo0163	Signal peptidase-like protein	Function unknown
lmo0164	+	NC_003210.1	164309	164698	390	129		TTG	Operon_024	DNA replication intiation control protein YabA	similar to B. subtilis YabA protein  in Bacillus subtilis this protein is involved in the negative regulation of DNA replication initiation  interacts with DnaN and DnaA	DNA replication intiation control protein YabA	Function unknown
lmo0165	+	NC_003210.1	164756	165508	753	250		TTG	Operon_024	hypothetical protein		tRNA (adenine37-N(6))-methyltransferase TrmN6 (EC 2.1.1.223)	General function prediction only
lmo0166	+	NC_003210.1	165492	165764	273	90		ATG	Operon_024	GIY-YIG nuclease superfamily protein	similar to B. subtilis YazA protein	COG2827: putative endonuclease containing a URI domain	Replication, recombination and repair
lmo0167	+	NC_003210.1	165761	166642	882	293		GTG	Operon_024	hypothetical protein - RAST_Product: rRNA small subunit methyltransferase I		rRNA small subunit methyltransferase I	General function prediction only
lmo0168	-	NC_003210.1	166687	166971	285	94		ATG		hypothetical protein - RAST_Product: Transition state regulatory protein AbrB	similar to B. subtilis transcription regulatory protein AbrB	Transition state regulatory protein AbrB	Transcription
lmo0169	+	NC_003210.1	167086	167943	858	285		ATG	Operon_025	hypothetical protein - RAST_Product: glucose uptake protein	similar to a glucose uptake protein	glucose uptake protein	Carbohydrate transport and metabolism
lmo0170	+	NC_003210.1	168005	169270	1266	421		TTG	Operon_025	hypothetical protein	lmo0170	putative exported protein	Function unknown
lmo0171	+	NC_003210.1	169510	172008	2499	832		ATG		hypothetical protein	similar to internalin proteins, putative peptidoglycan bound protein (LPXTG motif)	Internalin-like protein (LPXTG motif) Lmo0171 homolog	Function unknown
lmo0172	-	NC_003210.1	172072	172458	387	128		TGG		Pseudo-gene or RefSeq provisional			Not in COGs
lmo0173	-	NC_003210.1	172410	172931	522	173		AAA		Pseudo-gene or RefSeq provisional			Not in COGs
lmo0174	-	NC_003210.1	172903	173208	306	101		ATG		hypothetical protein - RAST_Product: hypothetical protein	similar to transposase	hypothetical protein	Not in COGs
lmo0175	-	NC_003210.1	173309	174556	1248	415		ATG		peptidoglycan binding protein		Putative peptidoglycan bound protein (LPXTG motif) Lmo0175 homolog	Not in COGs
lmo0176	+	NC_003210.1	174834	175694	861	286		TTG	Operon_026	hypothetical protein - RAST_Product: glucose uptake protein	similar to glucose uptake protein	glucose uptake protein	Carbohydrate transport and metabolism
lmo0177	+	NC_003210.1	175766	177760	1995	664	metS	TTG	Operon_026	methionyl-tRNA synthetase	methionine--tRNA ligase  MetRS  adds methionine to tRNA(Met) with cleavage of ATP to AMP and diphosphate  some MetRS enzymes form dimers depending on a C-terminal domain that is also found in other proteins such as Trbp111 in Aquifex aeolicus and the cold-shock protein CsaA from Bacillus subtilis while others do not  four subfamilies exist based on sequence motifs and zinc content	Methionyl-tRNA synthetase (EC 6.1.1.10)	Translation; General function prediction only;
lmo0178	+	NC_003210.1	177924	179138	1215	404		ATG		hypothetical protein - RAST_Product: Putative ROK-family transcriptional regulator	similar to xylose repressor	Putative ROK-family transcriptional regulator	Transcription; Carbohydrate transport and metabolism;
lmo0179	+	NC_003210.1	179174	180052	879	292		ATG		hypothetical protein - RAST_Product: N-Acetyl-D-glucosamine ABC transport system, permease protein 1	similar to sugar ABC transporters, permease proteins	N-Acetyl-D-glucosamine ABC transport system, permease protein 1	Carbohydrate transport and metabolism
lmo0180	+	NC_003210.1	180052	180900	849	282		ATG		hypothetical protein - RAST_Product: N-Acetyl-D-glucosamine ABC transport system, permease protein 2	similar to sugar ABC transporter, permease protein	N-Acetyl-D-glucosamine ABC transport system, permease protein 2	Carbohydrate transport and metabolism
lmo0181	+	NC_003210.1	180928	182184	1257	418		ATG		hypothetical protein - RAST_Product: N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein	similar to sugar ABC transporter, sugar-binding protein	N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein	Carbohydrate transport and metabolism
lmo0182	+	NC_003210.1	182267	185569	3303	1100		ATG		hypothetical protein - RAST_Product: glycosyl hydrolase, family 31	similar to alpha-xylosidase and alpha-glucosidase	glycosyl hydrolase, family 31	Carbohydrate transport and metabolism
lmo0183	+	NC_003210.1	185572	187863	2292	763		ATG		hypothetical protein - RAST_Product: Alpha-glucosidase (EC 3.2.1.20)	similar to alpha-glucosidase	Alpha-glucosidase (EC 3.2.1.20)	Carbohydrate transport and metabolism
lmo0184	+	NC_003210.1	187867	189528	1662	553		ATG		hypothetical protein - RAST_Product: Oligo-1,6-glucosidase (EC 3.2.1.10)	similar to oligo-1,6-glucosidase	Oligo-1,6-glucosidase (EC 3.2.1.10)	Carbohydrate transport and metabolism
lmo0185	+	NC_003210.1	189625	190398	774	257		TTG		hypothetical protein - RAST_Product: Putative deoxyribonuclease YcfH		Putative deoxyribonuclease YcfH	Replication, recombination and repair
lmo0186	+	NC_003210.1	190690	191916	1227	408		ATG		hypothetical protein - RAST_Product: Cell wall-binding protein	similar to B. subtilis YabE protein	Cell wall-binding protein	Function unknown
lmo0187	+	NC_003210.1	192018	192593	576	191		ATG	Operon_027	hypothetical protein - RAST_Product: Ribonuclease M5 (EC 3.1.26.8)	similar to B. subtilis YabF protein	Ribonuclease M5 (EC 3.1.26.8)	Replication, recombination and repair
lmo0188	+	NC_003210.1	192586	193473	888	295	ksgA	ATG	Operon_027	dimethyladenosine transferase	catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rRNA  mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin	Dimethyladenosine transferase (EC 2.1.1.-)	Translation
lmo0189	+	NC_003210.1	193593	193850	258	85		ATG		hypothetical protein - RAST_Product: Veg protein	highly similar to B. subtilis Veg protein	Veg protein	Function unknown
lmo0190	+	NC_003210.1	193989	194870	882	293	ipk	ATG	Operon_028	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	similar to B. subtilis YabH protein  An essential enzyme in the nonmevalonate pathway of isopentenyl diphosphate and dimethylallyl diphosphate biosynthesis	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	Lipid transport and metabolism
lmo0191	+	NC_003210.1	194892	195629	738	245		ATG	Operon_028	hypothetical protein - RAST_Product: Cellobiose phosphotransferase system YdjC-like protein	similar to a putative phospho-beta-glucosidase	Cellobiose phosphotransferase system YdjC-like protein	Function unknown
lmo0192	+	NC_003210.1	195793	196611	819	272		ATG		pur operon repressor	similar to PurR, transcription repressor of purine operon of B. subtilis	PurR: transcription regulator associated with purine metabolism	Nucleotide transport and metabolism
lmo0193	+	NC_003210.1	196786	197463	678	225		ATG	Operon_029	hypothetical protein - RAST_Product: possible membrane fusion protein	lmo0193	possible membrane fusion protein	Cell wall/membrane biogenesis
lmo0194	+	NC_003210.1	197512	198204	693	230		ATG	Operon_029	ABC transporter, ATP-binding protein		ABC transporter ATP-binding protein YvcR	Defense/virulence mechanisms
lmo0195	+	NC_003210.1	198201	199409	1209	402		ATG	Operon_029	hypothetical protein - RAST_Product: ABC transporter, permease protein	similar to membrane protein (putative ABC transporter component)	ABC transporter, permease protein	Defense/virulence mechanisms
